Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20165105,Perth - North East,Swan,Major Cities of Australia,Arterial Road
20166004,South East,Central Highlands (Tas.),Outer Regional Australia,Sub-arterial Road
20167014,Darwin,Darwin,Outer Regional Australia,Collector Road
20161135,Sydney - Parramatta,The Hills,Major Cities of Australia,National or State Highway
20161129,Sydney - South West,Liverpool,Inner Regional Australia,Collector Road
20165113,Western Australia - Outback (South),Chapman Valley,Outer Regional Australia,National or State Highway
20166005,Launceston and North East,Northern Midlands,Inner Regional Australia,National or State Highway
20161211,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,Arterial Road
20161244,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Sub-arterial Road
20161010,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
20161115,Sydney - Parramatta,Cumberland,Major Cities of Australia,Local Road
20161079,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Arterial Road
20161066,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,National or State Highway
20167005,Northern Territory - Outback,Central Desert,Very Remote Australia,National or State Highway
20161262,Central West,Forbes,Outer Regional Australia,Sub-arterial Road
20164004,South Australia - Outback,Unincorporated SA,Very Remote Australia,Local Road
20161303,New England and North West,Narrabri,Outer Regional Australia,Local Road
20165012,Mandurah,Mandurah,Major Cities of Australia,Local Road
20161320,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20161124,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,Local Road
20164045,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Access road
20161271,Far West and Orana,Gilgandra,Outer Regional Australia,Sub-arterial Road
20161151,Central West,Bathurst,Inner Regional Australia,Sub-arterial Road
20164037,Adelaide - South,Onkaparinga,Major Cities of Australia,Collector Road
20165131,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia,Local Road
20161082,Riverina,Carrathool,Outer Regional Australia,Local Road
20167009,Darwin,Palmerston,Outer Regional Australia,Arterial Road
20161161,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Collector Road
20165088,Western Australia - Wheat Belt,Bruce Rock,Remote Australia,Local Road
20165158,Bunbury,Nannup,Outer Regional Australia,Arterial Road
20161194,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
20165151,Bunbury,Donnybrook-Balingup,Inner Regional Australia,Local Road
20161168,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,National or State Highway
20161167,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Local Road
20165036,Perth - South West,Cockburn,Major Cities of Australia,Local Road
20166006,Launceston and North East,Meander Valley,Outer Regional Australia,Collector Road
20165043,Perth - North West,Stirling,Major Cities of Australia,Arterial Road
20165117,Bunbury,Dardanup,Inner Regional Australia,Local Road
20165126,Western Australia - Wheat Belt,Wongan-Ballidu,Outer Regional Australia,Arterial Road
20167031,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Sub-arterial Road
20161251,Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
20167023,Northern Territory - Outback,MacDonnell,Very Remote Australia,National or State Highway
20161261,Central Coast,Central Coast (NSW),Major Cities of Australia,Sub-arterial Road
20161288,Central West,Bathurst,Inner Regional Australia,National or State Highway
20161015,Far West and Orana,Dubbo,Outer Regional Australia,Arterial Road
20161235,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Local Road
20164006,Adelaide - North,Tea Tree Gully,Major Cities of Australia,Sub-arterial Road
20161322,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
20161226,Sydney - South West,Fairfield,Major Cities of Australia,Collector Road
20165066,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,National or State Highway
20161253,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,Local Road
20164020,South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway
20161250,Sydney - Parramatta,Cumberland,Major Cities of Australia,Arterial Road
20161142,Capital Region,Goulburn Mulwaree,Inner Regional Australia,Sub-arterial Road
20167038,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
20167035,Darwin,Litchfield,Outer Regional Australia,Local Road
20165089,Perth - Inner,Vincent,Major Cities of Australia,Arterial Road
20165041,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,National or State Highway
20165011,Western Australia - Wheat Belt,Denmark,Outer Regional Australia,National or State Highway
20165136,Perth - South West,Rockingham,Major Cities of Australia,Arterial Road
20166029,Hobart,Hobart,Inner Regional Australia,National or State Highway
20161042,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Arterial Road
20164052,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
20164008,South Australia - South East,Murray Bridge,Inner Regional Australia,Arterial Road
20161214,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,Arterial Road
20168008,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,Collector Road
20165156,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,Local Road
20161086,Illawarra,Wollongong,Inner Regional Australia,Arterial Road
20165077,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,Arterial Road
20161076,Murray,Federation,Inner Regional Australia,Arterial Road
20161232,Capital Region,Yass Valley,Inner Regional Australia,Arterial Road
20165168,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,Local Road
20165078,Perth - South West,Kwinana,Major Cities of Australia,Arterial Road
20165119,Western Australia - Wheat Belt,Boddington,Outer Regional Australia,National or State Highway
20165003,Perth - South East,Gosnells,Major Cities of Australia,National or State Highway
20164062,Barossa - Yorke - Mid North,Yorke Peninsula,Remote Australia,Arterial Road
20161055,Central West,Cowra,Inner Regional Australia,Arterial Road
20161099,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,National or State Highway
20161179,Richmond - Tweed,Lismore,Inner Regional Australia,Arterial Road
20165160,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia,Local Road
20161053,Sydney - Sutherland,Sutherland,Major Cities of Australia,Arterial Road
20161354,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20161145,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Sub-arterial Road
20161272,Sydney - Parramatta,Cumberland,Major Cities of Australia,National or State Highway
20161223,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,National or State Highway
20161035,Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
20164071,Adelaide - Central and Hills,Adelaide,Major Cities of Australia,Sub-arterial Road
20161195,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Local Road
20164057,Adelaide - West,West Torrens,Major Cities of Australia,Arterial Road
20164016,South Australia - South East,Mid Murray,Outer Regional Australia,National or State Highway
20165087,Western Australia - Wheat Belt,Northam,Inner Regional Australia,Arterial Road
20166002,Launceston and North East,Meander Valley,Outer Regional Australia,National or State Highway
20161047,New England and North West,Moree Plains,Outer Regional Australia,National or State Highway
20161017,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20167018,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Arterial Road
20167013,Darwin,Darwin,Outer Regional Australia,Local Road
20167040,Northern Territory - Outback,Unincorporated NT,Remote Australia,Arterial Road
20166021,Hobart,Glenorchy,Inner Regional Australia,National or State Highway
20161089,Central West,Oberon,Outer Regional Australia,Arterial Road
20161202,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20161071,Sydney - Blacktown,Blacktown,Major Cities of Australia,Local Road
20164017,Adelaide - North,Salisbury,Major Cities of Australia,Arterial Road
20164059,Adelaide - South,Onkaparinga,Major Cities of Australia,National or State Highway
20165023,Perth - South West,Fremantle,Major Cities of Australia,Arterial Road
20161273,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20165121,Western Australia - Outback (North),Halls Creek,Very Remote Australia,National or State Highway
20165138,Western Australia - Outback (North),East Pilbara,Very Remote Australia,National or State Highway
20166030,West and North West,Kentish,Outer Regional Australia,Local Road
20161330,Far West and Orana,Narromine,Outer Regional Australia,Arterial Road
20164075,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
20167037,Northern Territory - Outback,Victoria Daly,Very Remote Australia,National or State Highway
20164013,South Australia - Outback,Anangu Pitjantjatjara Yankunytjatjara,Very Remote Australia,Local Road
20167016,Darwin,Litchfield,Outer Regional Australia,Arterial Road
20161336,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,Sub-arterial Road
20165122,Bunbury,Dardanup,Inner Regional Australia,Arterial Road
20165018,Western Australia - Wheat Belt,Goomalling,Outer Regional Australia,Local Road
20165069,Western Australia - Outback (North),Ashburton,Very Remote Australia,Arterial Road
20161090,Sydney - City and Inner South,Sydney,Major Cities of Australia,Arterial Road
20161227,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20161296,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Sub-arterial Road
20164053,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Local Road
20165167,Bunbury,Dardanup,Inner Regional Australia,Local Road
20168001,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20161178,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Local Road
20161188,Sydney - Outer West and Blue Mountains,Wollondilly,Inner Regional Australia,Sub-arterial Road
20165170,Mandurah,Mandurah,Major Cities of Australia,Arterial Road
20161116,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20165101,Perth - North West,Joondalup,Major Cities of Australia,Local Road
20161352,Far West and Orana,Warrumbungle,Outer Regional Australia,National or State Highway
20161242,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Arterial Road
20161356,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Sub-arterial Road
20168003,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Local Road
20165022,Perth - North West,Wanneroo,Major Cities of Australia,Local Road
20161143,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Major Cities of Australia,Arterial Road
20167012,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Sub-arterial Road
20164049,Adelaide - South,Marion,Major Cities of Australia,National or State Highway
20161238,Illawarra,Shellharbour,Major Cities of Australia,Collector Road
20164022,South Australia - South East,Berri Barmera,Outer Regional Australia,National or State Highway
20161277,Far West and Orana,Bogan,Remote Australia,National or State Highway
20161110,Riverina,Cootamundra-Gundagai,Inner Regional Australia,National or State Highway
20161209,Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
20165071,Perth - North East,Swan,Major Cities of Australia,Arterial Road
20161329,New England and North West,Narrabri,Outer Regional Australia,Local Road
20165038,Perth - South West,Cockburn,Major Cities of Australia,National or State Highway
20161081,Mid North Coast,Mid-Coast,Outer Regional Australia,Sub-arterial Road
20164065,Adelaide - South,Onkaparinga,Major Cities of Australia,Arterial Road
20165128,Mandurah,Murray,Major Cities of Australia,Local Road
20165086,Western Australia - Wheat Belt,Williams,Outer Regional Australia,Arterial Road
20166008,West and North West,Waratah-Wynyard,Outer Regional Australia,National or State Highway
20161346,New England and North West,Tamworth,Outer Regional Australia,National or State Highway
20161051,Sydney - Inner West,Canada Bay,Major Cities of Australia,Local Road
20165097,Perth - South East,Gosnells,Major Cities of Australia,Arterial Road
20161153,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
20164023,Adelaide - North,Playford,Major Cities of Australia,Local Road
20161308,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
20161020,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Local Road
20161092,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
20168009,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20164031,Adelaide - North,Playford,Inner Regional Australia,National or State Highway
20161323,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20161171,Central West,Bathurst,Inner Regional Australia,Arterial Road
20164034,Adelaide - South,Onkaparinga,Major Cities of Australia,National or State Highway
20161100,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20161138,Murray,Murray River,Outer Regional Australia,National or State Highway
20165109,Perth - South East,Armadale,Major Cities of Australia,National or State Highway
20161247,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Collector Road
20161207,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,National or State Highway
20165149,Perth - North East,Mundaring,Inner Regional Australia,Local Road
20168011,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,National or State Highway
20161279,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20161181,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20161003,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,National or State Highway
20161014,Capital Region,Hilltops,Outer Regional Australia,Arterial Road
20161170,Sydney - City and Inner South,Sydney,Major Cities of Australia,Arterial Road
20161173,Sydney - Blacktown,Blacktown,Major Cities of Australia,Local Road
20165053,Perth - North West,Wanneroo,Major Cities of Australia,Local Road
20166016,West and North West,Devonport,Outer Regional Australia,Collector Road
20161292,Sydney - South West,Liverpool,Inner Regional Australia,Collector Road
20161230,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,National or State Highway
20161026,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20161278,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,National or State Highway
20165085,Bunbury,Waroona,Inner Regional Australia,Local Road
20161215,Sydney - City and Inner South,Sydney,Major Cities of Australia,Local Road
20161343,Central West,Lithgow,Inner Regional Australia,Arterial Road
20165007,Perth - North West,Joondalup,Major Cities of Australia,Local Road
20161245,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Sub-arterial Road
20164035,Adelaide - North,Playford,Major Cities of Australia,National or State Highway
20161335,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
20166012,South East,Southern Midlands,Outer Regional Australia,National or State Highway
20161198,New England and North West,Tamworth,Inner Regional Australia,Arterial Road
20166019,South East,Central Highlands (Tas.),Outer Regional Australia,Collector Road
20164056,Adelaide - North,Light,Major Cities of Australia,National or State Highway
20164060,South Australia - South East,Tatiara,Outer Regional Australia,Sub-arterial Road
20161169,Far West and Orana,Dubbo,Inner Regional Australia,National or State Highway
20165146,Perth - North West,Joondalup,Major Cities of Australia,Arterial Road
20166025,Hobart,Sorell,Inner Regional Australia,National or State Highway
20164063,Barossa - Yorke - Mid North,Light,Inner Regional Australia,Sub-arterial Road
20161218,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
20161339,Sydney - Parramatta,Parramatta,Major Cities of Australia,Arterial Road
20165165,Perth - North East,Swan,Major Cities of Australia,Arterial Road
20165102,Western Australia - Outback (North),East Pilbara,Very Remote Australia,Arterial Road
20161203,New England and North West,Tenterfield,Outer Regional Australia,Arterial Road
20165157,Western Australia - Wheat Belt,Gingin,Inner Regional Australia,Arterial Road
20161149,Central West,Orange,Inner Regional Australia,Sub-arterial Road
20161302,Illawarra,Wollongong,Major Cities of Australia,Arterial Road
20164039,Adelaide - North,Tea Tree Gully,Major Cities of Australia,Collector Road
20165010,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,Local Road
20161112,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Local Road
20161056,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20161291,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20161029,Riverina,Cootamundra-Gundagai,Inner Regional Australia,Arterial Road
20165024,Western Australia - Outback (North),Halls Creek,Very Remote Australia,National or State Highway
20161338,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,National or State Highway
20161300,Capital Region,Snowy Monaro,Outer Regional Australia,Sub-arterial Road
20161219,Sydney - Parramatta,Parramatta,Major Cities of Australia,Local Road
20161061,Capital Region,Eurobodalla,Inner Regional Australia,Access road
20161031,New England and North West,Inverell,Outer Regional Australia,National or State Highway
20161206,Capital Region,Goulburn Mulwaree,Outer Regional Australia,Sub-arterial Road
20164041,Adelaide - North,Playford,Major Cities of Australia,Sub-arterial Road
20161057,Capital Region,Hilltops,Inner Regional Australia,Arterial Road
20165067,Perth - South East,Armadale,Major Cities of Australia,Arterial Road
20164054,Adelaide - North,Playford,Major Cities of Australia,National or State Highway
20161328,Capital Region,Bega Valley,Outer Regional Australia,Arterial Road
20161028,Sydney - Inner West,Strathfield,Major Cities of Australia,Local Road
20165133,Perth - North West,Wanneroo,Major Cities of Australia,Local Road
20161353,Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Arterial Road
20167022,Northern Territory - Outback,Coomalie ,Remote Australia,National or State Highway
20161349,Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,Arterial Road
20167024,Northern Territory - Outback,MacDonnell,Very Remote Australia,Sub-arterial Road
20161246,Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
20161108,Central West,Cowra,Inner Regional Australia,National or State Highway
20161176,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road
20165050,Bunbury,Waroona,Inner Regional Australia,National or State Highway
20161289,Sydney - Ryde,Parramatta,Major Cities of Australia,Arterial Road
20161080,Murray,Federation,Outer Regional Australia,Arterial Road
20164047,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Sub-arterial Road
20161184,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20161268,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
20161314,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Sub-arterial Road
20161248,Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway
20161091,Central West,Bathurst,Inner Regional Australia,National or State Highway
20165095,Perth - South East,Kalamunda,Inner Regional Australia,Local Road
20165009,Perth - Inner,Cambridge,Major Cities of Australia,National or State Highway
20161088,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Arterial Road
20165103,Perth - North West,Wanneroo,Inner Regional Australia,Arterial Road
20161234,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Arterial Road
20161205,Central West,Mid-Western,Inner Regional Australia,Local Road
20165140,Perth - Inner,Stirling,Major Cities of Australia,Arterial Road
20164066,South Australia - South East,Loxton Waikerie,Outer Regional Australia,Local Road
20167011,Darwin,Litchfield,Outer Regional Australia,Local Road
20165068,Bunbury,Collie,Inner Regional Australia,Arterial Road
20161317,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20164005,Adelaide - North,Playford,Inner Regional Australia,National or State Highway
20161225,Hunter Valley exc Newcastle,Upper Hunter,Inner Regional Australia,National or State Highway
20165123,Western Australia - Outback (South),Dundas,Very Remote Australia,National or State Highway
20161052,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20161033,Sydney - South West,Camden,Major Cities of Australia,Collector Road
20161019,Sydney - City and Inner South,Sydney,Major Cities of Australia,Local Road
20165028,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Arterial Road
20167001,Northern Territory - Outback,Barkly,Very Remote Australia,Sub-arterial Road
20161156,Illawarra,Kiama,Inner Regional Australia,Sub-arterial Road
20167033,Northern Territory - Outback,West Arnhem,Remote Australia,Arterial Road
20161193,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20164015,Adelaide - North,Gawler,Major Cities of Australia,Local Road
20165099,Western Australia - Outback (North),East Pilbara,Very Remote Australia,Arterial Road
20165058,Bunbury,Harvey,Inner Regional Australia,National or State Highway
20161059,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
20161147,Sydney - Sutherland,Sutherland,Major Cities of Australia,Local Road
20161204,Hunter Valley exc Newcastle,Dungog,Inner Regional Australia,Arterial Road
20164067,South Australia - South East,Berri Barmera,Outer Regional Australia,National or State Highway
20165017,Western Australia - Outback (South),Cue,Very Remote Australia,National or State Highway
20164026,Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,Local Road
20165031,Mandurah,Mandurah,Major Cities of Australia,Local Road
20161286,Mid North Coast,Kempsey,Inner Regional Australia,Sub-arterial Road
20166023,Hobart,Hobart,Inner Regional Australia,Arterial Road
20165143,Perth - Inner,Claremont,Major Cities of Australia,National or State Highway
20165037,Bunbury,Dardanup,Inner Regional Australia,Local Road
20161075,New England and North West,Gunnedah,Outer Regional Australia,National or State Highway
20165106,Bunbury,Harvey,Inner Regional Australia,National or State Highway
20161216,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,National or State Highway
20165150,Perth - South East,Victoria Park,Major Cities of Australia,Local Road
20166001,Hobart,Clarence,Inner Regional Australia,National or State Highway
20167025,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
20161152,Riverina,Griffith,Outer Regional Australia,Local Road
20161063,Central West,Forbes,Outer Regional Australia,Sub-arterial Road
20168006,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,National or State Highway
20165073,Perth - North East,Mundaring,Inner Regional Australia,National or State Highway
20161041,New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
20164033,Barossa - Yorke - Mid North,Goyder,Outer Regional Australia,Access road
20161109,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,Collector Road
20161197,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road
20161192,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway
20161130,Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
20165094,Western Australia - Outback (South),Mount Magnet,Very Remote Australia,Arterial Road
20165046,Perth - North East,Mundaring,Major Cities of Australia,Arterial Road
20161131,Hunter Valley exc Newcastle,Dungog,Inner Regional Australia,Sub-arterial Road
20164042,South Australia - South East,Grant,Outer Regional Australia,Collector Road
20161280,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20161350,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Local Road
20165054,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,Arterial Road
20161034,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20165152,Western Australia - Outback (South),Meekatharra,Very Remote Australia,Local Road
20161096,Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
20161128,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Sub-arterial Road
20165055,Perth - North East,Mundaring,Major Cities of Australia,National or State Highway
20161275,Far West and Orana,Unincorporated NSW,Remote Australia,Sub-arterial Road
20161102,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
20161119,New England and North West,Armidale,Outer Regional Australia,Local Road
20161290,Sydney - North Sydney and Hornsby,Hornsby,Major Cities of Australia,Arterial Road
20161162,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20165084,Perth - North West,Wanneroo,Major Cities of Australia,Local Road
20165090,Bunbury,Collie,Inner Regional Australia,Local Road
20167028,Northern Territory - Outback,Central Desert,Very Remote Australia,Arterial Road
20167015,Northern Territory - Outback,Victoria Daly,Very Remote Australia,Sub-arterial Road
20161307,New England and North West,Tamworth,Outer Regional Australia,National or State Highway
20161344,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
20165083,Western Australia - Outback (South),Northampton,Remote Australia,Arterial Road
20165144,Western Australia - Wheat Belt,Quairading,Outer Regional Australia,Arterial Road
20161304,Richmond - Tweed,Lismore,Inner Regional Australia,Local Road
20165005,Western Australia - Wheat Belt,Dalwallinu,Remote Australia,National or State Highway
20168005,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,National or State Highway
20165056,Perth - North East,Swan,Major Cities of Australia,Arterial Road
20161293,Central West,Cabonne,Outer Regional Australia,Arterial Road
20161228,Sydney - Parramatta,Cumberland,Major Cities of Australia,Collector Road
20161243,Sydney - Parramatta,Parramatta,Major Cities of Australia,Arterial Road
20161284,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Collector Road
20161326,Sydney - South West,Fairfield,Major Cities of Australia,Local Road
20164003,South Australia - South East,Murray Bridge,Inner Regional Australia,Arterial Road
20165001,Perth - North West,Wanneroo,Major Cities of Australia,Arterial Road
20161239,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20165029,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia,Local Road
20161039,Central West,Bland,Outer Regional Australia,Sub-arterial Road
20161113,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road
20161258,Richmond - Tweed,Kyogle,Outer Regional Australia,Sub-arterial Road
20161185,Illawarra,Wollongong,Inner Regional Australia,National or State Highway
20161122,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,National or State Highway
20164051,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,Arterial Road
20161007,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Local Road
20161146,Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia,Arterial Road
20161240,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20164012,Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia,Sub-arterial Road
20161024,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,Arterial Road
20161269,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Local Road
20161157,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20164025,South Australia - South East,Alexandrina,Inner Regional Australia,Local Road
20161067,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway
20161095,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20165064,Western Australia - Wheat Belt,Cuballing,Outer Regional Australia,Local Road
20161044,Capital Region,Goulburn Mulwaree,Inner Regional Australia,Sub-arterial Road
20161137,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20165048,Perth - South West,Rockingham,Major Cities of Australia,Arterial Road
20165051,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,National or State Highway
20161101,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
20165120,Perth - North West,Stirling,Major Cities of Australia,Local Road
20161064,Far West and Orana,Warrumbungle,Outer Regional Australia,Arterial Road
20161172,Sydney - Parramatta,Parramatta,Major Cities of Australia,Local Road
20167020,Darwin,Darwin,Outer Regional Australia,Arterial Road
20161325,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,National or State Highway
20161005,Sydney - Parramatta,Parramatta,Major Cities of Australia,Local Road
20165042,Bunbury,Busselton,Inner Regional Australia,Local Road
20164074,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Arterial Road
20161148,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Local Road
20161140,New England and North West,Uralla,Outer Regional Australia,Arterial Road
20164014,South Australia - South East,Murray Bridge,Inner Regional Australia,Local Road
20166009,West and North West,Waratah-Wynyard,Outer Regional Australia,Local Road
20164007,South Australia - South East,Tatiara,Outer Regional Australia,Arterial Road
20165166,Perth - North West,Joondalup,Major Cities of Australia,Local Road
20161166,Capital Region,Snowy Monaro,Outer Regional Australia,Local Road
20161123,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Local Road
20161186,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20161217,Sydney - Inner West,Burwood,Major Cities of Australia,Local Road
20161265,Sydney - Ryde,Ryde,Major Cities of Australia,Arterial Road
20165061,Perth - Inner,Subiaco,Major Cities of Australia,Arterial Road
20161155,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Collector Road
20161210,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Local Road
